Date,Company,Open,High,Low,Close,Adj Close,Volume,Trend
2017-10-02,AAPL,154.259995,154.449997,152.720001,153.809998,153.259048,18698800,0
2017-10-03,AAPL,154.009995,155.08999599999999,153.91000400000001,154.479996,153.926651,16230300,1
2017-10-04,AAPL,153.630005,153.860001,152.46000700000002,153.479996,152.930237,20163800,0
2017-10-05,AAPL,154.179993,155.440002,154.050003,155.389999,154.83338899999998,21283800,1
2017-10-06,AAPL,154.970001,155.490005,154.559998,155.300003,154.74371299999999,17407600,1
2017-10-09,AAPL,155.809998,156.729996,155.490005,155.83999599999999,155.28178400000002,16262900,1
2017-10-10,AAPL,156.059998,158.0,155.100006,155.899994,155.341553,15617000,0
2017-10-11,AAPL,155.970001,156.979996,155.75,156.550003,155.989243,16905600,1
2017-10-12,AAPL,156.350006,157.369995,155.729996,156.0,155.44120800000002,16125100,0
2017-10-13,AAPL,156.729996,157.279999,156.41000400000001,156.990005,156.427673,16394200,1
2017-10-16,AAPL,157.899994,160.0,157.649994,159.880005,159.30731200000002,24121500,1
2017-10-17,AAPL,159.779999,160.869995,159.229996,160.470001,159.895203,18997300,1
2017-10-18,AAPL,160.419998,160.71000700000002,159.600006,159.759995,159.187729,16374200,0
2017-10-19,AAPL,156.75,157.080002,155.020004,155.979996,155.42128,42584200,0
2017-10-20,AAPL,156.610001,157.75,155.96000700000002,156.25,155.69030800000002,23974100,0
2017-10-23,AAPL,156.889999,157.690002,155.5,156.169998,155.610596,21984300,0
2017-10-24,AAPL,156.28999299999998,157.419998,156.199997,157.100006,156.537277,17757200,1
2017-10-25,AAPL,156.91000400000001,157.550003,155.270004,156.41000400000001,155.849747,21207100,0
2017-10-26,AAPL,157.229996,157.830002,156.779999,157.41000400000001,156.84616100000002,17000500,1
2017-10-27,AAPL,159.28999299999998,163.600006,158.699997,163.050003,162.465958,44454200,1
2017-10-30,AAPL,163.889999,168.070007,163.720001,166.720001,166.122803,44700800,1
2017-10-31,AAPL,167.899994,169.649994,166.940002,169.03999299999998,168.434494,36046800,1
2017-11-01,AAPL,169.869995,169.940002,165.610001,166.889999,166.292206,33637800,0
2017-11-02,AAPL,166.600006,168.5,165.279999,168.110001,167.507828,41393400,1
2017-11-03,AAPL,174.0,174.259995,171.119995,172.5,171.882111,59398600,0
2017-11-06,AAPL,172.369995,174.990005,171.720001,174.25,173.62583899999998,35026300,1
2017-11-07,AAPL,173.91000400000001,175.25,173.600006,174.809998,174.183823,24361500,1
2017-11-08,AAPL,174.66000400000001,176.240005,174.330002,176.240005,175.608719,24409500,1
2017-11-09,AAPL,175.110001,176.100006,173.139999,175.880005,175.25,29482600,1
2017-11-10,AAPL,175.110001,175.380005,174.270004,174.669998,174.669998,25145500,0
2017-11-13,AAPL,173.5,174.5,173.399994,173.970001,173.970001,16982100,1
2017-11-14,AAPL,173.03999299999998,173.479996,171.179993,171.33999599999999,171.33999599999999,24782500,0
2017-11-15,AAPL,169.970001,170.320007,168.380005,169.080002,169.080002,29158100,0
2017-11-16,AAPL,171.179993,171.869995,170.300003,171.100006,171.100006,23637500,0
2017-11-17,AAPL,171.03999299999998,171.389999,169.639999,170.149994,170.149994,21899500,0
2017-11-20,AAPL,170.28999299999998,170.559998,169.559998,169.979996,169.979996,16262400,0
2017-11-21,AAPL,170.779999,173.699997,170.779999,173.139999,173.139999,25131300,1
2017-11-22,AAPL,173.360001,175.0,173.050003,174.96000700000002,174.96000700000002,25588900,1
2017-11-24,AAPL,175.100006,175.5,174.649994,174.970001,174.970001,14009200,0
