company,Date,text
AMZN,2017-10-01,"Checkout my latest post about the FANG Trade!
https://www.brtechnicals.com/future-of-fang/ 
#Technicalanalysis #stockmarket #FB #AMZN #GOOG #NFLX #Netflix #Amazon"
AMZN,2017-10-01,"http://MegaTrade101.com : Stock #DIVERGENCE Closing into #ALIGNMENT: #AMZN &. ... http://megatrade101.blogspot.com/2017/10/stock-divergence-closing-into-alignment.html?spref=tw …"
AMZN,2017-10-01,"Don't miss out Big Five Charts Webinar looking at #aapl #nflx #fb #amzn and #tsla https://attendee.gotowebinar.com/register/1852938062816091137 …"
AMZN,2017-10-01,"Someone's willing to destroy them both, but who?  #BookPromo #AMZN #WriterRT Killing Secrets, KL Docter http://amzn.com/B00JPQ5ZVO/?tag=wwwkarendocte-20 …pic.twitter.com/x3YFnl7cqQ"
AMZN,2017-10-01,"You can grow a small account trading #SPX #SPY #GLD #AAPL #TSLA #NFLX #GOOGL #AMZN #BBRY #PCLN #VIX
http://www.tradewithjoe.com/chat/ 
#optionspic.twitter.com/3UZHiem6QP"
AMZN,2017-10-01,"Big Five Chart Service for Sunday now posted http://theartofchart.net  #AMZN #AAPL #FB #NFLX #TSLA"
AMZN,2017-10-02,"#AMZN  Extremely bearish chart pattern.  Bulls are in trouble until the bearish gap is filled @ 1040.18. #Amazonpic.twitter.com/HZNeGvixcZ"
AMZN,2017-10-02,"Will Amazon Make Money Next Year? http://dlvr.it/PrqL6M  #AMZN #ElazarAdvisorsLLCpic.twitter.com/82E3oonqBg"
AMZN,2017-10-02,"Their secrets just might kill them. #bookpromotion KILLING SECRETS by KL Docter #AMZN #ebook http://amzn.com/B00JPQ5ZVO/?tag=wwwkarendocte-20 …pic.twitter.com/eODApavKNH"
AMZN,2017-10-02,"S&P 500, Nasdaq, Dow hit records as stocks open higher
http://feeds.marketwatch.com/~r/marketwatch/marketpulse/~3/5BGW0XUXjYw/story.aspx …
$COMPQ #COMPQ $AMZN #AMZN $ORCL #ORCL"
AMZN,2017-10-02,"http://Amazon.com 's buy rating reiterated at SunTrust Banks, Inc.. $1,190.00 PT. http://ift.tt/2ykd0Kx  $AMZN #AMZN"
AMZN,2017-10-02,"http://Amazon.com 's buy rating reiterated at SunTrust Banks, Inc.. $1,190.00 PT. http://ift.tt/2ykd0Kx  $AMZN #AMZN"
AMZN,2017-10-02,"http://Amazon.com 's buy rating reiterated at SunTrust Banks, Inc.. $1,190.00 PT. http://ift.tt/2ykd0Kx  $AMZN #AMZN"
AMZN,2017-10-02,"http://Amazon.com 's buy rating reiterated at Loop Capital. $1,200.00 PT. http://ift.tt/2xOxh7P  $AMZN #AMZN"
AMZN,2017-10-02,"http://Amazon.com 's buy rating reiterated at Loop Capital. $1,200.00 PT. http://ift.tt/2xOxh7P  $AMZN #AMZN"
AMZN,2017-10-02,"http://Amazon.com 's buy rating reiterated at Loop Capital. $1,200.00 PT. http://ift.tt/2xOxh7P  $AMZN #AMZN"
AMZN,2017-10-02,"The blog is out at http://www.brtechnicals.com/future-of-fang . In it, we take a look at the #FANG trade, and determine a possible future. #fb #amzn #goog #nflx"
AMZN,2017-10-02,"#AMZN Has a Wedge setting up. There is also a confluence of Moving Averages setting up. #WBHQ http://bit.ly/HomeWBHQ pic.twitter.com/GeygKPnceu"
AMZN,2017-10-02,"Long term #options Oct 20 expiry #AMZN #AAPL #BABA #CMG #FB #GOOGL #REGN #TSLA. Added #PCLN and #ISRG on 10/2.pic.twitter.com/tPuKpqhK5v"
AMZN,2017-10-02,"You can grow a small account trading #SPX #SPY #GLD #AAPL #TSLA #NFLX #GOOGL #AMZN #BBRY #PCLN #VIX
http://www.tradewithjoe.com/chat/ 
#optionspic.twitter.com/Enl1ZtQ01J"
AMZN,2017-10-02,"Final #AMZN #PutCallRatios for Monday, October 2, 2017 http://dlvr.it/PryS4r pic.twitter.com/cvwfM05Jaw"
