company,Date,text
TWTR,2017-10-01,".@TwitterIR #TWTR https://twitter.com/JackPosobiec/status/914305525143175168 …"
TWTR,2017-10-01,"It's rare that I agree w @JoyAnnReid

She's right:
#Trump's #TWTR responses to #PuertoRico catastrophe
are a real disgrace

PR needs HELPhttps://twitter.com/JoyAnnReid/status/914478437758328833 …"
TWTR,2017-10-01,"Would The SHARKS Ever Buy TWITTER and show How To Grow - Monetize - Shareholder Value ? #Mark #Richard #Sharks #TWTR"
TWTR,2017-10-01,"If #TWTR was smart they would just charge people who want 280. Their problem has always been monetization"
TWTR,2017-10-01,"@nannystategate selling all @twitter retarded nanny state stocks #dump these #twtr losers #twittersucks #wanttoplay a game #linkinglinks"
TWTR,2017-10-01,"AndTheFinal
#ScreenCapture Number5
ThatFollowingWas #ShadowBanned
By #ButtFace #NumbNut
#NaziLover>#JackDorsey<#Twtr
https://twitter.com/SRAntiFascism/status/782059411401420800 …pic.twitter.com/EPH0VbmpLd"
TWTR,2017-10-01,"When u retweet because u agree w/ premise, based on a source that's beyond questionable, i.e SecretReports suspended on #TWTR, u need 2 rethink."
TWTR,2017-10-01,"That source was blocked from #TWTR. On it's profile, there was virus included in its link. Very reputable"
TWTR,2017-10-01,"That source was blocked from #TWTR. On it's profile, there was virus included in its link. Very reputable"
TWTR,2017-10-01,"@TweetLeni By the way, your #TWTR feed is excellent. A pleasure to see someone else who trades and is not selling a newsletter"
TWTR,2017-10-02,"#Twitter Is Now Using #AI to Recommend #Tweets (#TWTR) http://hashnewsgram.com/  #cnn #bbc #fox #cnbcpic.twitter.com/50nraXd5RW"
TWTR,2017-10-02,"$TWTR 16.77$ : we should go test 22.5 / 25.5 $ next year  #twtr #twitter pic.twitter.com/VFZyDllFY9"
TWTR,2017-10-02,"Twitter, Built on Anonymity, Finds It to Be a Liability
https://www.wsj.com/articles/twitter-built-on-anonymity-finds-it-to-be-a-liability-1506945601 …
$TWTR #TWTR"
TWTR,2017-10-02,"Twitter's underweight rating reiterated at Morgan Stanley. $10.00 PT. http://ift.tt/2hHk1hg  $TWTR #TWTR"
TWTR,2017-10-02,"Twitter's underweight rating reiterated at Morgan Stanley. $10.00 PT. http://ift.tt/2hHk1hg  $TWTR #TWTR"
TWTR,2017-10-02,"Twitter's underweight rating reiterated at Morgan Stanley. $10.00 PT. http://ift.tt/2hHk1hg  $TWTR #TWTR"
TWTR,2017-10-02,"BLOCK TRADE detected in #TWTR"
TWTR,2017-10-02,"Twitter, Inc. (TWTR) price at close, October 02, 2017, is 17.09 USD. #Stocks #Twitter #TWTR"
TWTR,2017-10-02,"Why Amazon should buy Twitter https://www.recode.net/2017/9/30/16012450/amazon-twitter-acquisition-merger-advertising-jeff-bezos?utm_campaign=www.recode.net&utm_content=entry&utm_medium=social&utm_source=twitter … via @Recode $AMZN $TWTR #TWTR #AMAZON"
TWTR,2017-10-02,"مساء الخير. #twtr #تويترpic.twitter.com/qqksXmjlAw"
TWTR,2017-10-02,"$TWTR - Twitter, Inc. #TWTR Rating Reiterated by Morgan Stanley https://goo.gl/fb/cNMTqE "
